,AAPL,capital_used,ending_cash,ending_value,long_mavg,orders,period_close,period_open,pnl,portfolio_value,positions,returns,short_mavg,starting_cash,starting_value,transactions
2011-08-17 20:00:00,51.051402,0.0,99027.6010614,5105.1402,42.64517688,[],2011-08-17 20:00:00+00:00,2011-08-17 13:31:00+00:00,-0.537100000001,104132.741261,"[{'amount': 100, 'last_sale_price': 51.051402, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-5.15781322218e-06,47.00425846,99027.6010614,5105.6773,[]
2011-08-18 20:00:00,49.120402,0.0,99027.6010614,4912.0402,42.6955161933,[],2011-08-18 20:00:00+00:00,2011-08-18 13:31:00+00:00,-193.1,103939.641261,"[{'amount': 100, 'last_sale_price': 49.120402, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.00185436393646,47.02520558,99027.6010614,5105.1402,[]
2011-08-19 20:00:00,47.775816,0.0,99027.6010614,4777.5816,42.74102913,[],2011-08-19 20:00:00+00:00,2011-08-19 13:31:00+00:00,-134.4586,103805.182661,"[{'amount': 100, 'last_sale_price': 47.775816, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.00129362193643,47.0320091,99027.6010614,4912.0402,[]
2011-08-22 20:00:00,47.83083,0.0,99027.6010614,4783.083,42.7843055333,[],2011-08-22 20:00:00+00:00,2011-08-22 13:31:00+00:00,5.50139999999,103810.684061,"[{'amount': 100, 'last_sale_price': 47.83083, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",5.29973538791e-05,47.04248931,99027.6010614,4777.5816,[]
2011-08-23 20:00:00,50.13354,0.0,99027.6010614,5013.354,42.8318760433,[],2011-08-23 20:00:00+00:00,2011-08-23 13:31:00+00:00,230.271,104040.955061,"[{'amount': 100, 'last_sale_price': 50.13354, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.00221818208869,47.07615772,99027.6010614,4783.083,[]
2011-08-24 20:00:00,50.479752,0.0,99027.6010614,5047.9752,42.8785340633,[],2011-08-24 20:00:00+00:00,2011-08-24 13:31:00+00:00,34.6212,104075.576261,"[{'amount': 100, 'last_sale_price': 50.479752000000005, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000332765111389,47.11858874,99027.6010614,5013.354,[]
2011-08-25 20:00:00,50.149639,0.0,99027.6010614,5014.9639,42.9231076333,[],2011-08-25 20:00:00+00:00,2011-08-25 13:31:00+00:00,-33.0113,104042.564961,"[{'amount': 100, 'last_sale_price': 50.149639, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.00031718584884,47.16224086,99027.6010614,5047.9752,[]
2011-08-26 20:00:00,51.472755,0.0,99027.6010614,5147.2755,42.97383608,[],2011-08-26 20:00:00+00:00,2011-08-26 13:31:00+00:00,132.3116,104174.876561,"[{'amount': 100, 'last_sale_price': 51.472755, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.001271706441,47.22221048,99027.6010614,5014.9639,[]
2011-08-29 20:00:00,52.330235,0.0,99027.6010614,5233.0235,43.02577671,[],2011-08-29 20:00:00+00:00,2011-08-29 13:31:00+00:00,85.748,104260.624561,"[{'amount': 100, 'last_sale_price': 52.330234999999995, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000823115926127,47.29189553,99027.6010614,5147.2755,[]
2011-08-30 20:00:00,52.332923,0.0,99027.6010614,5233.2923,43.0790145333,[],2011-08-30 20:00:00+00:00,2011-08-30 13:31:00+00:00,0.268800000005,104260.893361,"[{'amount': 100, 'last_sale_price': 52.332923, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",2.57815451553e-06,47.36155385,99027.6010614,5233.0235,[]
2011-08-31 20:00:00,51.640495,0.0,99027.6010614,5164.0495,43.13082545,[],2011-08-31 20:00:00+00:00,2011-08-31 13:31:00+00:00,-69.2428,104191.650561,"[{'amount': 100, 'last_sale_price': 51.640495, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.00066413012365,47.42834043,99027.6010614,5233.2923,[]
2011-09-01 20:00:00,51.130578,0.0,99027.6010614,5113.0578,43.1819654367,[],2011-09-01 20:00:00+00:00,2011-09-01 13:31:00+00:00,-50.9917,104140.658861,"[{'amount': 100, 'last_sale_price': 51.130578, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.000489402938961,47.49574433,99027.6010614,5164.0495,[]
2011-09-02 20:00:00,50.193921,0.0,99027.6010614,5019.3921,43.2292675467,[],2011-09-02 20:00:00+00:00,2011-09-02 13:31:00+00:00,-93.6657,104046.993161,"[{'amount': 100, 'last_sale_price': 50.193921, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",-0.000899415281448,47.55163464,99027.6010614,5113.0578,[]
2011-09-06 20:00:00,50.957466,0.0,99027.6010614,5095.7466,43.2845405833,[],2011-09-06 20:00:00+00:00,2011-09-06 13:31:00+00:00,76.3545,104123.347661,"[{'amount': 100, 'last_sale_price': 50.957466, 'cost_basis': 21.525967493, 'sid': 'AAPL'}]",0.000733846290796,47.61015507,99027.6010614,5019.3921,[]
