Date,High,Open,Low,Close
2014-01-03 00:43:00+00:00,1.36522,1.36529,1.36522,1.36524
2014-01-03 00:44:00+00:00,1.36525,1.36528,1.36522,1.36526
2014-01-03 00:45:00+00:00,1.36527,1.36545,1.36527,1.36534
2014-01-03 00:46:00+00:00,1.36533,1.36534,1.36531,1.36532
2014-01-03 00:47:00+00:00,1.36531,1.36532,1.3653,1.36531
2014-01-03 00:48:00+00:00,1.36532,1.36542,1.36531,1.3654
2014-01-03 00:49:00+00:00,1.36542,1.36543,1.36535,1.36535
2014-01-03 00:50:00+00:00,1.36534,1.36534,1.36502,1.36502
2014-01-03 00:51:00+00:00,1.365,1.365,1.36492,1.36495
2014-01-03 00:52:00+00:00,1.36492,1.36495,1.3645,1.3646
2014-01-03 00:53:00+00:00,1.36462,1.36463,1.36439,1.36444
2014-01-03 00:54:00+00:00,1.36442,1.36482,1.36442,1.36477
2014-01-03 00:55:00+00:00,1.3648,1.36485,1.36471,1.36474
2014-01-03 00:56:00+00:00,1.36477,1.36497,1.36477,1.36483
2014-01-03 00:57:00+00:00,1.36482,1.36483,1.36468,1.3647
2014-01-03 00:58:00+00:00,1.36471,1.36472,1.36454,1.36459
2014-01-03 00:59:00+00:00,1.36465,1.36476,1.36465,1.36472
2014-01-03 01:00:00+00:00,1.3647,1.36478,1.36466,1.36471
2014-01-03 01:01:00+00:00,1.36472,1.36472,1.3647,1.36471
2014-01-03 01:02:00+00:00,1.36473,1.36473,1.36471,1.36473
2014-01-03 01:03:00+00:00,1.36472,1.36474,1.36471,1.36472
2014-01-03 01:04:00+00:00,1.36471,1.36494,1.36471,1.36482
2014-01-03 01:05:00+00:00,1.36481,1.36483,1.3648,1.36483
2014-01-03 01:06:00+00:00,1.36482,1.36482,1.3647,1.3647
2014-01-03 01:07:00+00:00,1.36471,1.36472,1.3647,1.36472
2014-01-03 01:08:00+00:00,1.3647,1.36476,1.3647,1.36476
2014-01-03 01:09:00+00:00,1.3648,1.36494,1.3648,1.36485
2014-01-03 01:10:00+00:00,1.36484,1.36484,1.36481,1.36483
2014-01-03 01:11:00+00:00,1.36482,1.36482,1.36462,1.36462
2014-01-03 01:12:00+00:00,1.36461,1.36464,1.36461,1.36463
2014-01-03 01:13:00+00:00,1.36461,1.36463,1.36461,1.36463
2014-01-03 01:14:00+00:00,1.36464,1.36482,1.36464,1.36481
2014-01-03 01:15:00+00:00,1.3648,1.36482,1.3648,1.36481
2014-01-03 01:16:00+00:00,1.36483,1.36485,1.36481,1.36485
2014-01-03 01:17:00+00:00,1.36486,1.36493,1.36486,1.36492
2014-01-03 01:18:00+00:00,1.36493,1.36502,1.3649,1.36492
2014-01-03 01:19:00+00:00,1.36491,1.36501,1.3649,1.36495
2014-01-03 01:20:00+00:00,1.36496,1.36529,1.36496,1.36522
2014-01-03 01:21:00+00:00,1.36521,1.36523,1.36509,1.36513
2014-01-03 01:22:00+00:00,1.36511,1.36512,1.365,1.36503
2014-01-03 01:23:00+00:00,1.36502,1.36516,1.36502,1.36516
2014-01-03 01:24:00+00:00,1.36517,1.36517,1.36501,1.36516
2014-01-03 01:25:00+00:00,1.3652,1.36524,1.3652,1.3652
2014-01-03 01:26:00+00:00,1.36521,1.36522,1.36501,1.36502
2014-01-03 01:27:00+00:00,1.36503,1.36513,1.36499,1.36512
2014-01-03 01:28:00+00:00,1.36513,1.36514,1.3651,1.36512
2014-01-03 01:29:00+00:00,1.36511,1.36512,1.36502,1.36506
2014-01-03 01:30:00+00:00,1.36508,1.36512,1.36508,1.36512
2014-01-03 01:31:00+00:00,1.36511,1.36522,1.3651,1.36519
2014-01-03 01:32:00+00:00,1.36518,1.36521,1.365,1.36507
2014-01-03 01:33:00+00:00,1.3651,1.36519,1.36509,1.36519
2014-01-03 01:34:00+00:00,1.36522,1.36526,1.36519,1.36519
2014-01-03 01:35:00+00:00,1.36522,1.36523,1.36519,1.3652
2014-01-03 01:36:00+00:00,1.36522,1.36522,1.36516,1.36517
2014-01-03 01:37:00+00:00,1.36516,1.36516,1.36512,1.36512
2014-01-03 01:38:00+00:00,1.36511,1.36514,1.36506,1.36511
2014-01-03 01:39:00+00:00,1.36512,1.36516,1.36511,1.36515
2014-01-03 01:40:00+00:00,1.36516,1.36516,1.36516,1.36516
2014-01-03 01:41:00+00:00,1.36515,1.36516,1.36512,1.36515
2014-01-03 01:42:00+00:00,1.36512,1.36516,1.36502,1.36505
2014-01-03 01:43:00+00:00,1.36502,1.36505,1.36502,1.36504
2014-01-03 01:44:00+00:00,1.36505,1.36505,1.36495,1.36495
2014-01-03 01:45:00+00:00,1.365,1.36519,1.365,1.36512
2014-01-03 01:46:00+00:00,1.36513,1.36513,1.36501,1.36503
2014-01-03 01:47:00+00:00,1.36502,1.36505,1.36502,1.36504
2014-01-03 01:48:00+00:00,1.36502,1.36504,1.36502,1.36504
2014-01-03 01:49:00+00:00,1.36505,1.36506,1.36502,1.36505
2014-01-03 01:50:00+00:00,1.36504,1.36507,1.36501,1.36502
2014-01-03 01:51:00+00:00,1.36501,1.36503,1.365,1.36503
2014-01-03 01:52:00+00:00,1.36501,1.36502,1.36499,1.36499
2014-01-03 01:53:00+00:00,1.365,1.36502,1.36499,1.36501
2014-01-03 01:54:00+00:00,1.36502,1.36502,1.36486,1.36495
2014-01-03 01:55:00+00:00,1.36494,1.36497,1.36485,1.36492
2014-01-03 01:56:00+00:00,1.36491,1.36495,1.3649,1.36495
2014-01-03 01:57:00+00:00,1.36493,1.36495,1.36493,1.36494
2014-01-03 01:58:00+00:00,1.36495,1.36508,1.36495,1.36504
2014-01-03 01:59:00+00:00,1.36503,1.36525,1.36501,1.36514
2014-01-03 02:00:00+00:00,1.36512,1.36515,1.36511,1.36512
2014-01-03 02:01:00+00:00,1.36513,1.36513,1.36511,1.36512
2014-01-03 02:02:00+00:00,1.36511,1.36518,1.36511,1.36511
2014-01-03 02:03:00+00:00,1.36512,1.36514,1.36509,1.36512
2014-01-03 02:04:00+00:00,1.36511,1.36535,1.36511,1.36534
2014-01-03 02:05:00+00:00,1.36533,1.36574,1.36533,1.3654
2014-01-03 02:06:00+00:00,1.36541,1.36542,1.36513,1.36525
2014-01-03 02:07:00+00:00,1.36527,1.36535,1.36527,1.3653
2014-01-03 02:08:00+00:00,1.36532,1.36532,1.3649,1.36492
2014-01-03 02:09:00+00:00,1.36491,1.36492,1.36481,1.36482
2014-01-03 02:10:00+00:00,1.36481,1.36503,1.36479,1.36499
2014-01-03 02:11:00+00:00,1.365,1.36523,1.365,1.3651
2014-01-03 02:12:00+00:00,1.36512,1.36529,1.3651,1.36529
2014-01-03 02:13:00+00:00,1.36532,1.36564,1.3653,1.36564
2014-01-03 02:14:00+00:00,1.36562,1.36564,1.3653,1.36538
2014-01-03 02:15:00+00:00,1.36537,1.36568,1.36531,1.36558
2014-01-03 02:16:00+00:00,1.36559,1.36567,1.36557,1.36564
